Application,Task Name,Parent Task,Status,Start Date,Due Date,Notes
Gestion de Caisse,Employes & Benefices (Gestion de Caisse),,in progress,2026-07-17,2026-07-21,Master Data : employes + types de benefice + benefices
Gestion de Caisse,Migration BDD 0016/0017 (tables + index unique filtre),Employes & Benefices (Gestion de Caisse),complete,2026-07-17,2026-07-17,Appliquee et verifiee en base
Gestion de Caisse,"Backend (entites, service, controleur, permissions)",Employes & Benefices (Gestion de Caisse),complete,2026-07-17,2026-07-17,Compile OK ; regle 1 benefice actif par type + masquage salaire
Gestion de Caisse,"Frontend (ecrans Employes, modale Benefices, Types de benefice)",Employes & Benefices (Gestion de Caisse),complete,2026-07-17,2026-07-17,Compile OK ; ajoute dans Master Data
Gestion de Caisse,Retrait menu Plan Comptable,Employes & Benefices (Gestion de Caisse),complete,2026-07-17,2026-07-17,Menu + route retires ; code/tables conserves
Gestion de Caisse,Test fonctionnel bout-en-bout,Employes & Benefices (Gestion de Caisse),to do,2026-07-20,2026-07-20,Creer employe + benefice + verifier refus 2e benefice actif meme type
Gestion de Caisse,Deploiement (redemarrage backend + build frontend),Employes & Benefices (Gestion de Caisse),to do,2026-07-20,2026-07-21,Charger le nouveau module cote serveur
Gestion de Caisse (Mobile),Mobile - correctifs & APK,,in progress,2026-07-17,2026-07-23,Correctifs code faits ; reste build + distribution
Gestion de Caisse (Mobile),Correctif Nature d'operation a la creation,Mobile - correctifs & APK,complete,2026-07-17,2026-07-17,Debloque la creation de bon (etait 400)
Gestion de Caisse (Mobile),Icones barre d'onglets (emojis vers pictogrammes),Mobile - correctifs & APK,complete,2026-07-17,2026-07-17,Ionicons ; prennent enfin la couleur active/inactive
Gestion de Caisse (Mobile),Debloquer le build (EAS cloud) : eas login + eas init,Mobile - correctifs & APK,to do,2026-07-21,2026-07-21,Contourne la limite Windows 260 caracteres
Gestion de Caisse (Mobile),Build APK (profil preview EAS),Mobile - correctifs & APK,to do,2026-07-21,2026-07-22,Genere l'APK a jour
Gestion de Caisse (Mobile),Redistribution de l'APK aux testeurs,Mobile - correctifs & APK,to do,2026-07-22,2026-07-22,Sinon les correctifs n'atteignent pas les utilisateurs
Gestion de Caisse (Mobile),Test creation de bon sur le nouvel APK,Mobile - correctifs & APK,to do,2026-07-22,2026-07-23,Valider le cas qui echouait en 400
Documentation,Documentation reunion,,in progress,2026-07-17,2026-07-17,Point Applications
Documentation,MAJ Point Applications (energie + conteneurs sans LE + retard livraison),Documentation reunion,complete,2026-07-17,2026-07-17,Document regenere et verifie
Gestion de Caisse,Securite,,to do,2026-07-20,2026-07-21,Secrets exposes dans le depot
Gestion de Caisse,Retirer backend/.env du suivi git + rotation des secrets,Securite,to do,2026-07-20,2026-07-21,.env contient identifiants BDD + secrets JWT
Gestion de Caisse,Git,,to do,2026-07-20,2026-07-20,Versionner le travail
Gestion de Caisse,Commit + push de tout le travail non commite,Git,to do,2026-07-20,2026-07-20,Employes/Benefices + mobile + docs + retrait menu
Gestion de Caisse (SAP),Integration SAP,,blocked,2026-07-20,,Depend de l'equipe SAP - non garanti cette semaine
Gestion de Caisse (SAP),"Obtenir les referentiels (comptes, natures) de l'equipe SAP",Integration SAP,blocked,,,Prerequis externe
Gestion de Caisse (SAP),Brancher la determination de compte + envoi des ecritures,Integration SAP,blocked,,,Depend des referentiels SAP
Gestion de Caisse (Mobile),Mobile push (app fermee),,blocked,2026-07-20,,Depend d'identifiants Firebase - non garanti cette semaine
