Task Name,Status,Priority,Start Date,Due Date,Tags,Description
Setup backend NestJS + TypeORM + SQL Server,Done,High,2026-04-01,2026-04-05,backend;setup,Initialisation du projet NestJS 10 avec TypeORM 0.3 et SQL Server 2022. Configuration des modules de base et de la connexion DB.
Modélisation MCD v2 + script DDL SQL Server,Done,High,2026-04-03,2026-04-08,backend;db,Conception du modèle conceptuel de données version 2 et écriture du script d'initialisation SQL Server.
Authentification LDAP + JWT,Done,Urgent,2026-04-08,2026-04-15,backend;security,"Intégration LDAP via POST 10.10.2.17:8000/users/ldap-authenticate, génération JWT, refresh tokens, guards NestJS."
Module Security : entités User/Role/Permission,Done,High,2026-04-10,2026-04-18,backend;security,Entités sec_user / sec_role / sec_permission / sec_user_role / sec_role_permission avec soft-delete et audit.
Module Référentiel : partenaires/cost-centers/directions,Done,Normal,2026-04-15,2026-04-22,backend;referentiel,CRUD pour les référentiels partenaires (CLIENT/FOURNISSEUR/MIXTE) cost-centers avec budget annuel et directions.
Module Financier : caisses + portefeuilles + devises,Done,High,2026-04-18,2026-04-28,backend;financier,Entités fin_caisse fin_portefeuille fin_devise. CRUD complet ouverture/clôture sessions calcul solde via ledger.
Module Transactionnel : bons + sous-bons,Done,High,2026-04-22,2026-05-03,backend;bons,"Entités trx_bon et trx_sous_bon avec workflow CREE → VALIDE → DECAISSE → COMPTABILISE. Validations contraintes BL/code manutention etc."
Ledger comptable (écritures + opérations),Done,Urgent,2026-04-28,2026-05-08,backend;comptable,Écritures comptables en partie double avec transactions ACID. Vérification équilibre. Calcul solde par compte.
Recharge caisse → portefeuille (ACID),Done,High,2026-05-02,2026-05-06,backend;financier,Endpoint POST /recharge avec transaction TypeORM. Crée 2 écritures équilibrées + 1 opération RECHARGE.
Setup frontend Vite + React 19 + TypeScript,Done,High,2026-04-15,2026-04-20,frontend;setup,Scaffold Vite 6 React 19 TypeScript 5 Tailwind shadcn/ui TanStack Router/Query Zustand React Hook Form Zod.
Page de login avec design pro,Done,High,2026-04-22,2026-04-28,frontend;ui,Modal login avec icône oeil sur mot de passe LDAP integration animation et design corporate bancaire.
Layout principal + sidebar pliable,Done,Normal,2026-04-25,2026-05-02,frontend;ui,"Layout responsive sidebar pliable persistance localStorage topbar avec titre dynamique navigation par sections (Principal/Gestion/Référentiel)."
Self-hosting fonts (DM Sans + Space Grotesk),Done,Low,2026-04-28,2026-04-30,frontend;assets,Téléchargement des 5 woff2 nécessaires et configuration locale pour fonctionnement offline LAN.
Page Caisses & Portefeuilles combinée,Done,High,2026-05-02,2026-05-10,frontend;ui,"Grille de cartes caisses gradient navy clic = expand vers portefeuilles wallet cards. Modals création caisse édition portefeuille soft-delete."
Page Bons (liste + filtres),Done,High,2026-05-05,2026-05-12,frontend;ui,"Tableau bons avec filtres statut (Tous/En attente/Validés/Décaissés) recherche par numéro pagination implicite drill-down depuis dashboard."
Création de bon avec sous-bons,Done,High,2026-05-08,2026-05-15,frontend;ui,Formulaire dynamique avec useFieldArray pour ajouter plusieurs sous-bons. Pré-sélection portefeuille/devise selon l'utilisateur connecté.
Détail bon + workflow validation/signature/décaissement,Done,High,2026-05-12,2026-05-20,frontend;ui,"Page détail bon avec actions par statut: valider imprimer signer (canvas signature) décaisser. Impression dans window popup avec image signature."
Page Utilisateurs + LDAP picker,Done,Normal,2026-05-15,2026-05-22,frontend;ui,Liste utilisateurs avec avatar coloré. Picker LDAP via GET /ldap/users pour importer rapidement. Gestion des rôles via modal.
Page Rôles + matrice permissions,Done,Normal,2026-05-18,2026-05-24,frontend;ui,Master-detail des rôles. Matrice de permissions cochables par module. Édition uniquement pour les admins.
