Task Name,Status,Priority,Start Date,Due Date,Tags,Description
Setup projet Expo + React Native + TypeScript,To Do,High,2026-06-29,2026-06-30,mobile;setup,"Init Expo SDK 52, React Native, TypeScript. Configuration ESLint, Prettier. EAS Build configuré (iOS + Android)."
Design system mobile (couleurs + typo + composants),To Do,High,2026-06-29,2026-07-01,mobile;design,"Reprise du design corporate (navy + vert NPG). Composants Card / Button / Input / Modal en NativeBase ou Tamagui ou custom."
Configuration navigation (Expo Router),To Do,Normal,2026-06-30,2026-07-01,mobile;navigation,"Stack + Tabs (Dashboard / Bons / Caisse / Profil). Deep linking pour notifications. Splash screen NPG."
Client API + intercepteur JWT,To Do,High,2026-07-01,2026-07-02,mobile;api,"Axios + TanStack Query partagés avec le web (types depuis types/api.ts). Refresh token automatique. Gestion 401."
Auth LDAP - écran de login,To Do,Urgent,2026-07-01,2026-07-03,mobile;auth,"Écran login mobile-first. Stockage sécurisé tokens via expo-secure-store. Logout. Logo NPG centré."
Auth biométrique (Face ID / empreinte),To Do,High,2026-07-02,2026-07-04,mobile;auth,"Activation après 1er login. Stockage JWT chiffré. Fallback PIN. Toggle dans Profil."
Store global Zustand (auth + persona + notifs),To Do,Normal,2026-07-02,2026-07-03,mobile;state,"Réplique des stores web : auth, persona, notifications. Persistance AsyncStorage."
Dashboard mobile - Persona Demandeur,To Do,High,2026-07-04,2026-07-06,mobile;dashboard,"Mes bons en cours, solde portefeuille, timeline cycle de vie, bouton flottant ""Nouveau bon""."
Dashboard mobile - Persona Validateur,To Do,High,2026-07-05,2026-07-07,mobile;dashboard,"File d'attente FIFO, badges urgence, swipe pour valider / rejeter, demandes d'extension priorité."
Dashboard mobile - Persona Caissier,To Do,High,2026-07-06,2026-07-08,mobile;dashboard,"Solde caisses, file à décaisser, KPIs décaissés du jour."
Persona switcher mobile,To Do,Normal,2026-07-07,2026-07-08,mobile;ux,"Bottom sheet avec pilules. Bascule fluide entre dashboards."
Liste Bons + filtres + recherche,To Do,High,2026-07-08,2026-07-10,mobile;bons,"Liste virtualisée (FlashList). Filtres par chips (Statut, Période). Pull-to-refresh."
Création de bon (formulaire multi-étapes),To Do,High,2026-07-09,2026-07-13,mobile;bons,"Wizard 3 étapes : Type bon, Sous-bons (ajout dynamique), Récap. Pré-sélection portefeuille utilisateur. Modal extension si solde insuffisant."
